"","taxId","gi","species","superkingdom","phylum","class","order","family","genus","kingdom","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1034616","1694419663","Desmodesmus intermedius","Eukaryota","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Desmodesmus","Viridiplantae","MN104245.1",584,0,0,492,509,1075,1057,492,1075
"2","1049057","1679350758","Xylophaga washingtona","Eukaryota","Mollusca","Bivalvia","Myoida","Xylophagaidae","Xylophaga","Metazoa","MK142578.1",593,0,0,441,458,1033,1015,441,1033
"3","1124737","1810670068","Phaulacridium marginale","Eukaryota","Arthropoda","Insecta","Orthoptera","Acrididae","Phaulacridium","Metazoa","MT072982.1",664,0,0,334,351,997,979,334,997
"4","1124738","1810670072","Phaulacridium otagoense","Eukaryota","Arthropoda","Insecta","Orthoptera","Acrididae","Phaulacridium","Metazoa","MT072983.1",664,0,0,334,351,997,979,334,997
"5","1174592","1817977172","Cadlinella subornatissima","Eukaryota","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","Cadlinella","Metazoa","MN224106.1",601,0,0,547,564,1147,1129,547,1147
"6","1196302","1799945196","Corvus moneduloides","Eukaryota","Chordata","Aves","Passeriformes","Corvidae","Corvus","Metazoa","XR_004241964.1",593,0,0,582,599,1174,1156,582,1174
"7","1198971","1815646378","Scrippsiella bicarinata","Eukaryota","Unassigned","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","Scrippsiella","Unassigned","MH497031.1",590,0,0,506,523,1095,1077,506,1095
"8","1227378","1811401763","Starmerella syriaca","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Unassigned","Starmerella","Fungi","NG_067631.1",554,0,0,448,465,1001,983,448,1001
"9","1259828","1810670142","Kosciuscola cognatus","Eukaryota","Arthropoda","Insecta","Orthoptera","Acrididae","Kosciuscola","Metazoa","MT073001.1",664,0,0,334,351,997,979,334,997
"10","126820","1714054218","Senna occidentalis","Eukaryota","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Senna","Viridiplantae","MN244679.1",588,0,0,575,592,1162,1144,575,1162
"11","126839","1694419661","Micractinium pusillum","Eukaryota","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae","Micractinium","Viridiplantae","MN104243.1",589,0,0,491,508,1079,1061,491,1079
"12","126844","1821233701","Phytopythium helicoides","Eukaryota","Unassigned","Oomycota","Pythiales","Pythiaceae","Phytopythium","Unassigned","MT193305.1",604,0,0,517,534,1120,1102,517,1120
"13","1294199","1765898103","Eurytemora carolleeae","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Metazoa","MN567275.1",595,0,0,513,530,1107,1089,513,1107
"14","1309627","1723901046","Silene stockenii","Eukaryota","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Viridiplantae","MN325968.1",589,0,0,865,882,1453,1435,865,1453
"15","1312023","1706619403","Neofinetia richardsiana","Eukaryota","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae","Neofinetia","Viridiplantae","MK317967.1",589,0,0,989,1006,1577,1559,989,1577
"16","1366558","1803250860","Helobdella austinensis","Eukaryota","Annelida","Clitellata","Hirudinida","Glossiphoniidae","Helobdella","Metazoa","MT010331.1",589,0,0,542,559,1130,1112,542,1130
"17","1398498","1783230915","Diptilomiopus ligustri","Eukaryota","Arthropoda","Arachnida","Trombidiformes","Diptilomiopidae","Diptilomiopus","Metazoa","MK440008.1",914,0,0,574,591,1487,1469,574,1487
"18","1415580","1717047537","Microcaecilia unicolor","Eukaryota","Chordata","Amphibia","Gymnophiona","Siphonopidae","Microcaecilia","Metazoa","XR_003942051.1",592,0,0,587,604,1178,1160,587,1178
"19","145430","1765903299","Placostylus ambagiosus","Eukaryota","Mollusca","Gastropoda","Stylommatophora","Orthalicidae","Placostylus","Metazoa","MN567951.1",604,0,0,332,349,935,917,332,935
"20","1484059","1812707104","Hepatozoon sp.","Eukaryota","Apicomplexa","Conoidasida","Eucoccidiorida","Hepatozoidae","Hepatozoon","Unassigned","MT114683.1",600,0,0,252,269,851,833,252,851
"21","1495109","1811401836","Inocybe cacaocolor","Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Fungi","NG_067704.1",591,0,0,555,572,1145,1127,555,1145
"22","1499537","1706619402","Thrixspermum japonicum","Eukaryota","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae","Thrixspermum","Viridiplantae","MK317966.1",589,0,0,2179,2196,2767,2749,2179,2767
"23","1514863","1783140556","Cryphoeca exlineae","Eukaryota","Arthropoda","Arachnida","Araneae","Hahniidae","Cryphoeca","Metazoa","MN590054.1",589,0,0,532,549,1120,1102,532,1120
